item,manuscript_location,script,main_outputs,notes
Table 1,Section 3.1,tools/compute_network_statistics.py,network_statistics.xlsx,"Processed network statistics."
Table 2,Section 3.1,tools/evaluate_clique_structure.py,Clique_Structure_Opinion3.xlsx,"Maximal-clique counts/sizes, size-2 fraction, memberships, degeneracy. Output retains legacy filename."
Table S1,Supplementary S1,tools/evaluate_preprocessing.py,Appendix_A1_Preprocessing_Effect.xlsx,"Original vs processed network statistics."
Fig. 3,Section 4.1.1,experiments/exp01_seed_ratio_sir_fig3.py,SIR_<network>_stat.pdf; SIR_AllData_<network>.xlsx,"Seed ratios 1%-10%; 50x20 SIR; network-wise BH inset."
Table S4,Supplementary S4,experiments/exp02_cross_network_stats_tableS4.py,CrossNetwork_Complete_Analysis.xlsx,"Friedman + average ranks + post-hoc MSH-vs-baselines across 9 networks."
Fig. 4; Table 3,Section 4.1.2,experiments/exp03_temporal_sir_fig4_table3.py,Temporal_SIR_<network>.pdf; Temporal_Final_Statistics.xlsx,"Fixed k=10; final-time paired statistics."
Fig. 5,Section 4.1.3,experiments/exp04_beta_robustness_fig5.py,FixedBeta5pct_Improvement_Heatmap.pdf; FixedBeta5pct_Final_Statistical_Test_Summary.xlsx,"p=5%; beta=0.10,0.125,0.15,0.175,0.20."
Table 4,Section 4.2,experiments/exp05_monotonicity_table4.py,Monotonicity_Results_NoTieBreak_Manuscript.xlsx,"No ID tie-breaking; score ties retained."
Fig. 6,Section 4.2,experiments/exp06_ranking_frequency_fig6.py,ranking-frequency PDFs/PNGs,"Tied-score/rank-group frequency visualization."
Fig. 7,Section 4.3.1,experiments/exp07_topological_dispersion_fig7.py,spreader-separation outputs,"Average shortest-path length L_s of selected node sets."
Fig. 8,Section 4.3.1,experiments/exp08_topology_visualization_fig8.py,Topology_Subplots_Hamster.pdf,"Top-50 selected nodes on Hamster."
Fig. 9,Section 4.3.2,experiments/exp09_structural_similarity_fig9.py,Jaccard_<network>.pdf; Jaccard_AllNetworks_Wide.xlsx,"Average neighborhood Jaccard similarity J_s."
Fig. 10; Tables S6-S7,Section 4.3.3; Supplementary S6,experiments/exp10_matched_controls_fig10_tablesS6S7.py,Opinion10_DDMR_Quadrant_Data.xlsx,"DMR/DMD/DDMR matched-control diagnostics and paired statistics."
Fig. 11,Section 4.4,experiments/exp11_kendall_correlation_fig11.py; experiments/plot_fig11_kendall.py,Table_C2_Kendall_by_network.csv; Fig_C2_MSH_Kendall_lollipop_matrix_manuscript.pdf,"All-node Kendall tau-b vs DC/CP/SH/ISH/SNIM."
Table 5; Tables S8-S9,Section 4.4; Supplementary S7,experiments/exp12_ablation_table5_tablesS8S9.py,ablation_average_improvement_significance.xlsx,"Network-level ablation statistics and raw values for large relative improvements."
Fig. 12,Section 4.5,experiments/exp13_runtime_scale_fig12.py,Runtime_Synthetic_Scale_Baseline_Comparison_<model>.pdf,"ER/WS/BA scale test; average degree about 6."
Fig. 13; Table S10,Section 4.5; Supplementary S8,experiments/exp14_average_degree_stress_fig13_tableS10.py,MSH_Density_Stress_Table.xlsx,"N=5000; target average degree 4-24; runtime decomposition and clique structure."
Table S2,Supplementary S2,experiments/exp15_tie_breaking_tableS2.py,tie_breaking_final_cv_summary.xlsx,"Deterministic ID/random boundary/SIR-based boundary sensitivity."
Table S5,Supplementary S5,experiments/exp16_recovery_rate_tableS5.py,RecoveryRate5pct_TableOnly_Final_Statistical_Test_Summary.xlsx,"Confirmed first-revision recovery-rate script/protocol used for the current Supplementary Table S5."
Table S11,Supplementary S9,experiments/exp17_clustering_stress_tableS11.py,MSH_Clustering_Stress_Table.xlsx,"WS rewiring/clustering stress at N=5000 and average degree about 6."
